Ethnicity,Ethnicity Recode,Ethnicity1,Ethnicity2,Ethnicity3,Ar-Khar,Bamar,Chin,Chinese,English,Hmone Won,Indian,Kachin,Kadu,Karin,Kayah,Kayan,Kayaw,Kayin,KaYun,Khumi,Kogno,Kokang,Kokant,La Chit,Lahu,Laishan,Lashi,Lhaovo,Lisu,Ma Nu Ma Naw,Mon,Myanmar,Naga,NgautChan,Palaung,Pa-O,Rakhine,Rawang,Shan,Ta-Arng,Taung Tha,Thet,Wa,Zomi
Lhaovo,Lhaovo,Lhaovo,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lisu,Lisu,Lisu,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ma Nu Ma Naw,Ma Nu Ma Naw,Ma Nu Ma Naw,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mon,Mon,Mon,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Mon-Bamar,Bamar-Mon,Bamar,Mon,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Mon-Kayin,Kayin-Mon,Kayin,Mon,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Myanmar,Myanmar,Myanmar,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Naga,Naga,Naga,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Palaung,Palaung,Palaung,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Pa-Laung,Palaung,Palaung,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Pa-Laung/Shan,Palaung-Shan,Palaung,Shan,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Pao,Pa-O,Pa-O,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Pa-O - Bamar ,Bamar-Pa-O,Bamar,Pa-O,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
